ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2019,4,SUCRE,OVEJAS,556,23148,24
2020,1,ANTIOQUIA,CARACOLI,317,4532,5
2018,4,NORTE DE SANTANDER,VILLA CARO,29,4996,6
2019,3,QUINDIO,ARMENIA,76247,300194,301
2019,4,CORDOBA,SAN CARLOS,133,27174,27
2020,1,LA GUAJIRA,BARRANCAS,1152,38348,39
2019,4,NARI�O,IPIALES,6558,115992,116
2019,1,CUNDINAMARCA,TOPAIPI,36,4189,5
2018,3,CAUCA,POPAYAN,56957,318059,319
2019,1,NARI�O,LA TOLA,10,7441,8
2019,1,VALLE DEL CAUCA,BUENAVENTURA,27377,310194,311
2019,1,VALLE DEL CAUCA,ARGELIA,203,5258,6
2019,3,BOYACA,LA CAPILLA,59,2686,4
2019,2,SANTANDER,MOGOTES,206,10576,11
2019,1,CHOCO,BAHIA SOLANO,700,10207,10
2019,1,SANTANDER,GUAVATA,36,4200,5
2019,2,CORDOBA,MONTELIBANO,4191,83908,85
2018,4,ANTIOQUIA,SANTO DOMINGO,384,12394,13
2019,1,TOLIMA,PRADO,281,8443,9
2018,4,ANTIOQUIA,VALDIVIA,386,13801,14
2018,3,BOYACA,SATIVANORTE,56,2221,3
2019,2,TOLIMA,PURIFICACION,944,23527,24
2020,1,ANTIOQUIA,CAROLINA,515,3972,4
2020,1,BOYACA,BUENAVISTA,22,4396,5
2020,1,CASANARE,NUNCHIA,48,8713,9
2018,4,HUILA,ALGECIRAS,19,22481,23
2018,4,VALLE DEL CAUCA,DAGUA,3934,48443,48
2019,2,VICHADA,SANTA ROSALIA,11,4130,5
2019,1,MAGDALENA,PLATO,1656,63026,63
2020,1,TOLIMA,GUAMO,1604,32772,33
2019,2,MAGDALENA,ALGARROBO,378,16194,16
2019,2,LA GUAJIRA,HATONUEVO,776,21151,22
2018,4,SANTANDER,ZAPATOCA,302,9466,10
2018,3,BOYACA,SORACA,33,5954,7
2019,2,BOLIVAR,MORALES,245,22846,23
2019,3,CAUCA,PADILLA,47,9953,11
2019,3,CUNDINAMARCA,BOJACA,312,10524,11
2018,4,NARI�O,EL PE�OL,63,7446,8
2019,1,CAUCA,POPAYAN,57674,321991,322
2019,3,SANTANDER,COROMORO,34,5009,6
2019,4,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,326,12340,13
2018,3,MAGDALENA,PEDRAZA,10,9196,10
2019,2,BOYACA,CAMPOHERMOSO,64,3082,4
2019,2,BOYACA,SANTA MARIA,170,3518,4
2020,1,TOLIMA,MARIQUITA,2630,38333,39
2019,2,TOLIMA,SUAREZ,144,3788,4
2019,4,CHOCO,SIPI,25,3202,4
2019,3,CORDOBA,VALENCIA,945,36042,37
2018,4,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,2861,42558,43
2019,4,TOLIMA,MARIQUITA,2657,38084,38
2019,4,CAQUETA,CARTAGENA DEL CHAIRA,17,30778,31
2020,1,CASANARE,SACAMA,71,2059,2
2019,4,ANTIOQUIA,YALI,251,7630,8
2018,4,CHOCO,BOJAYA,50,12073,13
2019,4,VALLE DEL CAUCA,SEVILLA,3857,41503,42
2019,1,BOYACA,TUNJA,42954,176347,177
2018,3,SANTANDER,CAPITANEJO,223,5505,6
2019,4,BOYACA,ZETAQUIRA,49,4621,5
2019,3,ANTIOQUIA,ANGELOPOLIS,268,5790,7
2019,4,CHOCO,TADO,423,17925,18
2018,3,SANTANDER,FLORIDABLANCA,69684,291935,292
2019,1,BOYACA,EL COCUY,148,4150,4
2019,1,NORTE DE SANTANDER,HACARI,31,10342,11
2018,4,NARI�O,TANGUA,186,13507,14
2019,3,BOLIVAR,CICUCO,207,13903,14
2018,3,BOYACA,SAN LUIS DE GACENO,120,5499,6
2020,1,ANTIOQUIA,GOMEZ PLATA,853,9921,10
2019,2,CORDOBA,TUCH�N,107,53744,54
2020,1,QUINDIO,CIRCASIA,3963,29060,30
2019,3,PUTUMAYO,VALLE DEL GUAMUEZ,1038,34082,34
2018,3,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,4101,55291,55
2020,1,CUNDINAMARCA,NARI�O,24,2464,3
2018,3,BOYACA,TURMEQUE,195,6118,6
2018,3,BOLIVAR,EL PE�ON,80,7651,8
2019,1,VALLE DEL CAUCA,VERSALLES,106,7070,8
2019,1,CUNDINAMARCA,EL PE�ON,53,4710,5
2019,2,MAGDALENA,PUEBLOVIEJO,14,31151,32
2019,3,CHOCO,CERTEGUI,16,5705,6
2018,4,BOYACA,CALDAS,30,3143,3
2019,4,BOLIVAR,CICUCO,20,13903,15
2019,4,BOYACA,LA UVITA,17,2831,3
2020,1,ANTIOQUIA,CONCORDIA,882,21688,22
2019,4,CUNDINAMARCA,APULO,352,8457,8
2019,1,HUILA,GUADALUPE,183,18104,19
2019,3,VALLE DEL CAUCA,TORO,1035,14467,15
2019,3,ATLANTICO,PIOJO,10,6873,8
2020,1,ANTIOQUIA,EL CARMEN DE VIBORAL,6211,62581,63
2019,3,CUNDINAMARCA,GUADUAS,1477,31869,32
2019,2,CHOCO,EL CANTON DEL SAN PABLO,16,6210,6
2018,3,CUNDINAMARCA,CARMEN DE CARUPA,91,7580,8
2020,1,BOYACA,BRICE�O,22,2163,3
2018,4,VALLE DEL CAUCA,YUMBO,16282,107334,108
2019,1,LA GUAJIRA,HATONUEVO,720,21151,21
2019,4,BOYACA,SOGAMOSO,24241,129346,130
2018,3,GUAVIARE,EL RETORNO,32,13653,14
2018,3,ANTIOQUIA,GUATAPE,1132,8363,9
2018,4,NARI�O,IMUES,160,7657,9
2018,4,ANTIOQUIA,CISNEROS,1384,9775,11
2019,2,ATLANTICO,CANDELARIA,191,16648,17
2019,1,BOYACA,PESCA,195,6765,7
2019,4,VALLE DEL CAUCA,OBANDO,981,12140,12
2020,1,BOYACA,BETEITIVA,8,1935,2
2020,1,TOLIMA,ALVARADO,49,8715,10
2019,2,BOLIVAR,ZAMBRANO,251,12113,12
2019,2,NORTE DE SANTANDER,TIBU,1552,56510,57
2019,1,ANTIOQUIA,CIUDAD BOLIVAR,2162,26160,27
2019,3,QUINDIO,QUIMBAYA,3257,30911,32
2019,1,SANTANDER,BETULIA,76,6003,7
2019,4,CHOCO,EL CANTON DEL SAN PABLO,15,6210,7
2018,3,CUNDINAMARCA,TIBACUY,33,4335,5
2019,1,VALLE DEL CAUCA,SEVILLA,4092,41503,42
2019,1,ANTIOQUIA,ANZA,173,7085,8
2019,1,ANTIOQUIA,BELLO,107997,538527,539
2020,1,CUNDINAMARCA,GIRARDOT,19165,109792,110
2019,1,BOLIVAR,ARJONA,3352,71837,73
2018,4,SANTANDER,CONFINES,28,3159,3
2019,4,SANTANDER,BOLIVAR,53,11073,11
2020,1,BOYACA,AQUITANIA,310,15546,16
2019,2,ARAUCA,ARAUQUITA,952,53407,54
2020,1,TOLIMA,SANTA ISABEL,26,5673,6
2019,4,VALLE DEL CAUCA,LA CUMBRE,328,16422,16
2018,3,CALDAS,NORCASIA,282,6022,6
2018,3,CUNDINAMARCA,FUQUENE,30,4904,6
2019,2,SANTANDER,ARATOCA,264,8368,9
2019,4,NORTE DE SANTANDER,CACHIRA,23,11096,12
2019,2,SANTANDER,SABANA DE TORRES,1358,33887,35
2019,1,NARI�O,CONSACA,84,13761,14
2019,4,VAUPES,PACOA,2,4229,5
2019,2,GUAINIA,PUERTO COLOMBIA,1,1934,3
2018,3,BOYACA,CHIVATA,33,2788,3
2020,1,TOLIMA,PIEDRAS,56,6761,7
2018,3,RISARALDA,BELEN DE UMBRIA,1131,24690,25
2019,4,NARI�O,PROVIDENCIA,16,5562,6
2018,3,BOYACA,RAQUIRA,118,7877,8
2018,3,CAUCA,SOTARA,20,13939,15
2018,4,LA GUAJIRA,SAN JUAN DEL CESAR,2588,46953,48
2019,1,CAUCA,SAN SEBASTIAN,29,11004,12
2019,1,SANTANDER,CONFINES,28,3233,4
2019,3,MAGDALENA,ZAPAYAN,12,10293,11
2019,4,ANTIOQUIA,CISNEROS,1489,9844,11
2018,4,CAUCA,CALDONO,128,39946,40
2019,3,ANTIOQUIA,ZARAGOZA,1235,25210,26
2018,4,BOYACA,MONGUA,109,4636,5
2020,1,VALLE DEL CAUCA,BUGALAGRANDE,2010,24465,25
2018,4,NORTE DE SANTANDER,CUCUTILLA,80,8095,8
2018,4,TOLIMA,FRESNO,598,31069,32
2018,3,SUCRE,COVE�AS,1175,18250,19
2019,2,SUCRE,COLOSO,16,8670,9
2019,2,MAGDALENA,PIVIJAY,1134,38203,38
2020,1,CUNDINAMARCA,EL COLEGIO,415,26176,27
2019,4,CUNDINAMARCA,NILO,125,11441,12
2018,4,NORTE DE SANTANDER,LA PLAYA,280,7582,8
2018,4,TOLIMA,CASABIANCA,128,6373,7
2018,3,NORTE DE SANTANDER,MUTISCUA,44,4163,5
2019,2,CUNDINAMARCA,ANOLAIMA,327,14161,15
2019,2,CUNDINAMARCA,SASAIMA,405,11104,12
2018,4,MAGDALENA,PEDRAZA,11,9196,10
2018,4,HUILA,SAN AGUSTIN,829,33028,34
2018,4,NORTE DE SANTANDER,SILOS,52,6162,7
2020,1,SANTANDER,SUAITA,41,10158,11
2019,3,CUNDINAMARCA,TOCANCIPA,6325,43020,44
2018,3,ANTIOQUIA,VIGIA DEL FUERTE,178,9093,9
2018,3,CUNDINAMARCA,TENA,99,9567,10
2019,4,BOLIVAR,ALTOS DEL ROSARIO,14,11309,11
2019,1,BOYACA,PAEZ,92,3256,4
2018,3,ANTIOQUIA,NECHI,635,25790,26
2019,2,CUNDINAMARCA,CACHIPAY,115,10324,11
2019,2,BOYACA,GUAYATA,81,3387,4
2019,3,ANTIOQUIA,PEQUE,256,8186,9
2018,4,BOYACA,LA VICTORIA,31,1118,2
2019,1,NARI�O,GUACHUCAL,183,19387,20
2019,3,CUNDINAMARCA,TENJO,2034,23052,24
2018,3,NARI�O,SANTACRUZ,61,10796,11
2019,3,CORDOBA,TUCH�N,242,53744,55
2019,2,ANTIOQUIA,ZARAGOZA,1268,25210,26
2019,2,ANTIOQUIA,SOPETRAN,1364,15293,16
2018,4,ATLANTICO,SABANAGRANDE,1512,32334,33
2020,1,VALLE DEL CAUCA,DAGUA,4922,49015,49
2019,1,QUINDIO,QUIMBAYA,3091,30911,31
2019,4,CESAR,LA JAGUA DE IBIRICO,5377,49052,50
2019,3,NORTE DE SANTANDER,SANTIAGO,34,3537,4
2020,1,SANTANDER,SAN MIGUEL,23,2478,3
2020,1,CUNDINAMARCA,UNE,180,7371,8
2018,3,VALLE DEL CAUCA,BUENAVENTURA,26524,308188,309
2020,1,META,PUERTO LLERAS,34,10354,11
2018,3,TOLIMA,CARMEN DE APICALA,526,10117,11
2018,3,BOYACA,CALDAS,29,3143,4
2019,1,BOYACA,PAJARITO,57,2400,3
2019,1,NORTE DE SANTANDER,SARDINATA,56,26100,27
2020,1,CESAR,LA PAZ,1506,29603,30
2018,4,CORDOBA,SAN BERNARDO DEL VIENTO,408,37007,38
2019,3,LA GUAJIRA,DISTRACCION,316,13706,14
2019,4,META,SAN MARTIN,1553,26571,27
2019,3,ANTIOQUIA,RETIRO,5632,24185,25
2020,1,CAUCA,VILLA RICA,159,21328,22
2020,1,CORDOBA,PURISIMA,49,17587,19
2019,4,SUCRE,MORROA,533,15495,16
2018,3,NARI�O,CUMBAL,215,36864,37
2019,2,CAUCA,SUAREZ,34,32226,33
2020,1,CAUCA,SUAREZ,47,32526,34
2020,1,RISARALDA,SANTUARIO,515,12434,13
2019,1,NORTE DE SANTANDER,CACHIRA,13,11096,11
2018,4,CUNDINAMARCA,SUTATAUSA,75,5887,7
2019,2,SUCRE,SAN JUAN DE BETULIA,29,13892,14
2019,4,BOYACA,SAN LUIS DE GACENO,27,5476,6
2020,1,CAQUETA,SOLITA,19,6346,7
2020,1,ANTIOQUIA,CARAMANTA,323,4648,5
2019,3,CHOCO,BAGADO,23,11149,12
2020,1,MAGDALENA,EL BANCO,1203,69701,70
2020,1,CUNDINAMARCA,SIMIJACA,55,14062,15
2019,2,VAUPES,PACOA,0,4229,5
2018,3,CAUCA,LA VEGA,48,24501,25
2019,2,MAGDALENA,GUAMAL,41,27345,28
2019,2,SANTANDER,BOLIVAR,93,11073,11
2019,3,TOLIMA,ATACO,291,19195,19
2020,1,ANTIOQUIA,MUTATA,1100,14389,15
2019,1,RISARALDA,GUATICA,353,12108,12
2019,3,CASANARE,LA SALINA,53,1385,2
2020,1,BOYACA,SUSACON,15,2704,3
2019,2,CESAR,GONZALEZ,6,4469,5
2019,3,SUCRE,LA UNION,16,12701,13
2019,3,SANTANDER,SIMACOTA,76,10138,10
2018,3,ANTIOQUIA,GRANADA,447,10117,10
2020,1,NARI�O,BARBACOAS,138,56526,57
2019,1,ANTIOQUIA,SAN ANDRES DE CUERQUIA,430,7240,8
2018,3,BOYACA,BELEN,271,7481,8
2019,2,NORTE DE SANTANDER,PAMPLONA,5982,52240,53
2019,2,CHOCO,MEDIO ATRATO,9,10817,11
2018,4,CALDAS,PENSILVANIA,1030,19908,21
2019,3,NARI�O,CONSACA,80,13761,15
2018,4,VALLE DEL CAUCA,EL CERRITO,5309,56470,57
2019,2,SANTANDER,PALMAR,36,1386,2
2018,4,AMAZONAS,LA PEDRERA,0,3820,5
2019,1,SANTANDER,VILLANUEVA,192,7927,8
2018,3,CESAR,LA PAZ,838,27759,28
2020,1,CAUCA,CAJIBIO,205,42833,43
2019,2,ANTIOQUIA,GIRARDOTA,7759,53162,53
2020,1,RISARALDA,BALBOA,101,6297,7
2019,3,GUAVIARE,SAN JOSE DEL GUAVIARE,2294,54333,55
2018,4,VALLE DEL CAUCA,CARTAGO,21300,135729,136
2020,1,NORTE DE SANTANDER,TIBU,2045,58721,59
2019,2,BOLIVAR,EL GUAMO,101,8825,10
2018,4,SUCRE,SUCRE,62,29552,30
2020,1,SANTANDER,FLORIDABLANCA,67776,307896,309
2019,4,VALLE DEL CAUCA,TORO,930,14467,15
2019,4,BOYACA,TUTA,209,8369,9
2018,4,CUNDINAMARCA,GACHETA,281,8425,9
2019,1,CAQUETA,LA MONTA�ITA,22,14662,16
2019,4,NORTE DE SANTANDER,PUERTO SANTANDER,332,8938,10
2018,3,BOLIVAR,ZAMBRANO,247,11880,12
2019,3,SUCRE,SANTIAGO DE TOLU,1975,33553,34
2018,3,SANTANDER,CARCASI,39,4292,4
2019,2,SANTANDER,ALBANIA,31,4242,5
2020,1,TOLIMA,ANZOATEGUI,29,10006,11
2018,4,CESAR,LA PAZ,1029,27759,28
2018,3,ANTIOQUIA,SEGOVIA,7092,37900,39
2020,1,ANTIOQUIA,ITUANGO,1036,27789,29
2019,4,BOLIVAR,MAGANGUE,7774,137030,137
2018,3,CALDAS,MARQUETALIA,302,13245,14
2019,1,META,PUERTO LOPEZ,2326,30301,31
2019,2,ANTIOQUIA,ENVIGADO,73192,236114,236
2019,4,SANTANDER,SAN JOAQUIN,15,2215,3
2018,3,SANTANDER,OIBA,103,10800,11
2018,3,HUILA,NATAGA,34,6469,7
2018,3,SANTANDER,VELEZ,433,24356,25
2018,3,SANTANDER,CHIPATA,40,5075,6
2019,1,GUAINIA,BARRANCO MINAS,2,8042,9
2019,3,ANTIOQUIA,VEGACHI,651,11910,12
2019,3,ANTIOQUIA,APARTADO,19032,124647,125
2019,4,BOYACA,CIENEGA,83,4642,5
2020,1,CUNDINAMARCA,VILLAPINZON,666,18433,19
2018,4,CORDOBA,SAN CARLOS,107,26954,27
2019,1,VALLE DEL CAUCA,RESTREPO,251,15295,16
2018,4,HUILA,GIGANTE,1011,24583,25
2018,4,BOYACA,CUCAITA,68,3725,5
2018,3,CASANARE,TAURAMENA,1135,23527,24
2019,1,CAQUETA,PUERTO RICO,567,26329,26
2019,2,SANTANDER,LOS SANTOS,85,14485,15
2018,3,BOYACA,TOTA,64,5179,5
2018,4,TOLIMA,MARIQUITA,2629,37770,38
2018,4,ANTIOQUIA,SANTAFE DE ANTIOQUIA,2783,26164,27
2019,3,GUAVIARE,MIRAFLORES,7,6898,7
2019,2,CUNDINAMARCA,LA PE�A,76,5976,6
2019,2,BOYACA,GUATEQUE,428,10809,11
2019,4,CALDAS,RISARALDA,241,10640,11
2019,3,CALDAS,PALESTINA,966,15598,16
2019,3,CAQUETA,SOLANO,13,11359,12
2020,1,SUCRE,SAN ONOFRE,470,51109,52
2018,3,CAUCA,TORIBIO,23,35218,36
2019,1,ANTIOQUIA,GOMEZ PLATA,829,9828,10
2018,4,BOYACA,PACHAVITA,30,2467,3
2019,1,BOLIVAR,SANTA ROSA DEL SUR,996,33701,34
2019,2,BOYACA,DUITAMA,22969,124780,125
2019,3,CAUCA,MORALES,41,39516,40
2018,4,TOLIMA,HONDA,2782,24693,26
2019,3,BOYACA,MARIPI,51,5697,6
2019,3,MAGDALENA,EL PI�ON,21,23400,24
2019,2,CAUCA,MERCADERES,32,22901,24
2019,2,CAQUETA,CARTAGENA DEL CHAIRA,23,30778,31
2018,3,SANTANDER,BETULIA,72,5941,6
2019,2,CUNDINAMARCA,BELTRAN,43,1832,2
2018,3,BOLIVAR,CICUCO,203,13442,14
2019,1,CAUCA,MIRANDA,795,31733,32
2018,3,BOYACA,TUNJA,40998,172548,173
2019,2,CUNDINAMARCA,VERGARA,78,6975,7
2018,4,SANTANDER,GUACA,65,5916,7
2018,4,CUNDINAMARCA,NILO,226,10819,11
2019,2,BOYACA,MOTAVITA,52,5641,7
2018,3,CAUCA,CAJIBIO,91,42014,42
2018,3,BOYACA,SUTAMARCHAN,91,6092,7
2018,4,META,SAN JUANITO,37,1307,1
2020,1,CUNDINAMARCA,GRANADA,62,7931,8
2019,4,CHOCO,BAHIA SOLANO,646,10207,10
2020,1,MAGDALENA,ZAPAYAN,7,10613,12
2018,4,CAUCA,SAN SEBASTIAN,36,10948,11
2019,1,META,ACACIAS,11357,90124,90
2019,1,CUNDINAMARCA,VERGARA,75,6975,8
2020,1,CUNDINAMARCA,GUACHETA,433,14241,15
2018,4,BOYACA,NOBSA,1179,15976,16
2020,1,SANTANDER,SAN ANDRES,42,8596,9
2019,1,NORTE DE SANTANDER,TOLEDO,83,15937,17
2019,4,CHOCO,RIO IRO,13,5537,6
2019,3,SANTANDER,MATANZA,98,4999,6
2019,1,NARI�O,LINARES,110,10098,10
2018,4,CESAR,GAMARRA,20,14973,16
2019,2,NARI�O,COLON,171,8403,9
2019,1,CALDAS,MARMATO,152,9035,10
2019,3,CALDAS,PENSILVANIA,749,19781,20
2018,3,MAGDALENA,CERRO SAN ANTONIO,8,9890,11
2019,1,TOLIMA,CARMEN DE APICALA,537,10306,11
2019,2,ANTIOQUIA,ANORI,1090,18737,20
2018,3,CESAR,LA JAGUA DE IBIRICO,1531,46722,48
2018,4,LA GUAJIRA,URUMITA,418,10985,11
2019,1,MAGDALENA,EL PI�ON,25,23400,24
2019,2,CUNDINAMARCA,YACOPI,205,12367,13
2018,3,SANTANDER,MATANZA,90,4976,5
2018,3,BOYACA,GARAGOA,577,17932,18
2019,2,MAGDALENA,ARIGUANI,28,31077,32
2019,4,BOYACA,COPER,18,3585,4
2019,4,META,MAPIRIPAN,14,7086,8
2020,1,GUAINIA,BARRANCO MINAS,3,7983,8
2020,1,SUCRE,LOS PALMITOS,1121,23884,25
2019,2,SANTANDER,BARRANCABERMEJA,35943,207494,208
2019,2,NARI�O,ILES,95,7646,8
2020,1,SUCRE,MORROA,529,15858,16
2019,4,ANTIOQUIA,CAREPA,4864,49659,50
2019,3,MAGDALENA,ALGARROBO,379,16194,16
2019,3,CALDAS,AGUADAS,611,22907,23
2019,4,MAGDALENA,FUNDACION,2958,68681,69
2019,1,ANTIOQUIA,GUARNE,7089,56774,57
2019,3,BOYACA,SIACHOQUE,59,6747,7
2019,3,ANTIOQUIA,SABANETA,33612,85484,86
2019,3,VALLE DEL CAUCA,RIOFRIO,228,15483,16
2019,3,CUNDINAMARCA,EL COLEGIO,745,25047,26
2018,3,TOLIMA,PLANADAS,548,25764,27
2018,3,NORTE DE SANTANDER,EL CARMEN,266,13144,13
2018,3,ARAUCA,FORTUL,15,18938,19
2018,4,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,4021,55291,56
2018,4,NARI�O,ANCUYA,102,8801,9
2018,3,SANTANDER,PALMAR,34,1361,2
2019,1,HUILA,PALESTINA,13,11282,12
2018,3,BOYACA,TIPACOQUE,48,3323,4
2018,4,NARI�O,SAPUYES,53,7346,7
2019,4,NARI�O,TAMINANGO,38,17866,18
2019,4,ATLANTICO,BARANOA,2915,64949,65
2019,3,LA GUAJIRA,URUMITA,460,11114,12
2019,2,CESAR,LA GLORIA,25,17858,18
2019,4,HUILA,ALGECIRAS,310,22498,23
2019,3,BOYACA,DUITAMA,23577,124780,125
2019,3,BOYACA,CUITIVA,38,1804,2
2019,2,CESAR,LA JAGUA DE IBIRICO,5408,49052,50
2020,1,CUNDINAMARCA,CAPARRAPI,256,12990,13
2019,4,VALLE DEL CAUCA,LA VICTORIA,721,11981,13
2018,3,VALLE DEL CAUCA,EL CAIRO,293,6845,7
2019,3,BOYACA,CHISCAS,83,3924,4
2020,1,NARI�O,ALBAN,459,9320,10
2019,2,CALDAS,VICTORIA,228,10255,11
2020,1,CORDOBA,SAN CARLOS,159,27368,28
2019,4,NARI�O,MAGsI,11,25214,25
2020,1,NORTE DE SANTANDER,SILOS,60,6546,8
2019,3,ANTIOQUIA,MACEO,533,8218,8
2019,1,ANTIOQUIA,OLAYA,165,3150,4
2019,3,CUNDINAMARCA,EL ROSAL,827,23417,24
2018,4,BOYACA,VILLA DE LEYVA,1415,16139,17
2018,4,VALLE DEL CAUCA,SEVILLA,4055,42133,42
2019,4,NARI�O,LA CRUZ,491,18697,19
2018,4,CUNDINAMARCA,VIOTA,210,13234,14
2018,4,ANTIOQUIA,VENECIA,1324,11602,12
2018,3,VICHADA,SANTA ROSALIA,12,4059,4
2019,3,NARI�O,MAGsI,14,25214,25
2018,3,CORDOBA,CERETE,6008,105815,107
2018,4,CUNDINAMARCA,SAN FRANCISCO,867,10755,11
2019,3,CUNDINAMARCA,APULO,373,8457,9
2018,3,ATLANTICO,SANTA LUCIA,2,16023,17
2019,3,ATLANTICO,SUAN,203,12282,13
2018,4,BOYACA,SAN EDUARDO,45,1701,2
2018,3,RISARALDA,BALBOA,116,6423,7
2018,3,VALLE DEL CAUCA,CALI,472744,2227642,2228
2019,2,CASANARE,SAN LUIS DE PALENQUE,104,8378,8
2019,4,CUNDINAMARCA,GIRARDOT,18588,105379,105
2019,2,NARI�O,SANTA BARBARA,17,13331,14
2020,1,ANTIOQUIA,YALI,247,7681,8
2019,4,CALDAS,SAN JOSE,38,4875,6
2019,3,CORDOBA,PUEBLO NUEVO,1066,36112,36
2018,3,VAUPES,PACOA,1,4042,5
2019,1,TOLIMA,RIOBLANCO,242,22660,24
2019,4,ANTIOQUIA,COPACABANA,18504,80000,80
2019,2,ANTIOQUIA,PE�OL,1503,21427,22
2019,4,ANTIOQUIA,SALGAR,854,18218,19
2019,1,QUINDIO,MONTENEGRO,3514,37127,38
2019,2,CAQUETA,BELEN DE LOS ANDAQUIES,28,11102,11
2019,2,VALLE DEL CAUCA,RIOFRIO,230,15483,16
2019,4,CORDOBA,CERETE,7138,107234,108
2020,1,NORTE DE SANTANDER,LA ESPERANZA,75,12373,13
2019,2,TOLIMA,RONCESVALLES,120,5467,5
2020,1,SUCRE,COLOSO,9,8732,10
2019,3,NARI�O,EL TAMBO,153,13986,15
2020,1,VALLE DEL CAUCA,CAICEDONIA,2810,28521,29
2018,4,CAQUETA,CURILLO,13,7593,8
2019,3,BOYACA,BELEN,229,7500,8
2018,4,SUCRE,SAN ONOFRE,531,49633,50
2019,2,SANTANDER,FLORIAN,72,5569,6
2018,4,LA GUAJIRA,LA JAGUA DEL PILAR,6,3498,4
2020,1,VAUPES,MITU,46,32793,33
2019,2,CUNDINAMARCA,VENECIA,65,4320,5
2019,3,BOLIVAR,CANTAGALLO,189,8488,9
2018,4,SANTANDER,CABRERA,27,1937,3
2018,4,BOYACA,SAN MATEO,113,3332,4
2019,2,NORTE DE SANTANDER,SALAZAR,14,10501,11
2019,3,CUNDINAMARCA,GUATAVITA,352,6561,7
2018,3,CUNDINAMARCA,CAPARRAPI,174,12569,13
2018,3,CESAR,SAN MARTIN,71,26674,27
2018,4,BOYACA,TOGsI,40,4335,5
2019,1,HUILA,VILLAVIEJA,84,7247,8
2019,3,META,EL DORADO,91,3932,5
2019,4,ANTIOQUIA,SONSON,2703,36394,37
2019,1,RISARALDA,BELEN DE UMBRIA,1208,24660,25
2018,3,QUINDIO,CALARCA,9292,72783,73
2019,1,SANTANDER,BARBOSA,2120,31940,32
2018,4,NARI�O,CONTADERO,64,7270,8
2018,4,QUINDIO,SALENTO,499,9260,10
2019,1,TOLIMA,AMBALEMA,341,6596,7
2018,4,CORDOBA,MOMIL,354,19590,20
2019,4,RISARALDA,APIA,184,12276,13
2019,4,BOYACA,TOCA,61,8831,10
2019,1,BOYACA,TURMEQUE,200,6131,6
2019,4,ANTIOQUIA,COCORNA,744,15042,16
2018,3,HUILA,GIGANTE,1015,24583,25
2018,4,BOYACA,TIPACOQUE,47,3323,4
2019,1,SANTANDER,FLORIDABLANCA,65377,300730,301
2019,4,ANTIOQUIA,PEQUE,263,8186,8
2019,1,ANTIOQUIA,JARDIN,1393,14662,15
2018,4,BOYACA,JERICO,41,3929,4
2018,4,BOYACA,CIENEGA,119,4635,5
2018,3,HUILA,PALESTINA,10,11159,12
2019,4,SANTANDER,SIMACOTA,36,10138,11
2019,1,BOYACA,BUSBANZA,23,1138,1
2019,4,ANTIOQUIA,CAICEDO,267,8420,9
2019,2,GUAVIARE,CALAMAR,297,9801,11
2019,1,MAGDALENA,SANTA MARTA,80146,521239,522
2019,2,CUNDINAMARCA,CAQUEZA,805,17480,18
2020,1,MAGDALENA,EL PI�ON,16,24083,25
2020,1,SANTANDER,VETAS,11,2168,2
2018,3,BOLIVAR,CLEMENCIA,349,14511,15
2018,3,LA GUAJIRA,URIBIA,968,163462,164
2019,3,CAUCA,GUAPI,171,27619,29
2018,4,CALDAS,ARANZAZU,364,10557,11
2018,4,ANTIOQUIA,ENVIGADO,71426,228848,230
2019,4,SANTANDER,CHIPATA,40,5084,5
2020,1,CUNDINAMARCA,TOPAIPI,22,4284,4
2020,1,BOLIVAR,SIMITI,70,19143,20
2019,2,HUILA,IQUIRA,115,9291,10
2018,3,CUNDINAMARCA,NILO,213,10819,12
2019,3,ANTIOQUIA,SALGAR,893,18218,19
2019,1,CALDAS,AGUADAS,757,22907,23
2018,3,NARI�O,TAMINANGO,144,17854,18
2019,1,MAGDALENA,SITIONUEVO,16,28254,29
2019,1,BOYACA,BELEN,319,7500,8
2019,3,ARAUCA,SARAVENA,3488,59697,60
2018,4,ANTIOQUIA,SEGOVIA,6518,37900,39
2019,4,CAUCA,LA VEGA,24,24542,26
2019,1,AMAZONAS,LA CHORRERA,38,2947,4
2018,4,NARI�O,LA UNION,447,31858,32
2018,4,CUNDINAMARCA,JERUSALEN,49,2281,3
2019,4,CUNDINAMARCA,TAUSA,49,8354,9
2019,1,CASANARE,TRINIDAD,311,13350,13
2018,4,ANTIOQUIA,SAN JOSE DE LA MONTA�A,371,3646,4
2019,2,META,PUERTO LLERAS,160,10359,10
2020,1,CALDAS,SAN JOSE,39,4916,6
2019,3,GUAINIA,PUERTO COLOMBIA,0,1934,2
2019,4,SANTANDER,PUERTO WILCHES,960,33572,34
2019,3,CUNDINAMARCA,GUAYABAL DE SIQUIMA,89,4587,5
2018,4,CUNDINAMARCA,PACHO,686,24413,25
