ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2018,3,HUILA,TESALIA,518,10697,11
2020,1,QUINDIO,LA TEBAIDA,3339,34803,35
2019,1,NORTE DE SANTANDER,CUCUTA,100524,749197,749
2019,4,CHOCO,CONDOTO,557,12464,13
2020,1,ANTIOQUIA,ANZA,195,7169,8
2018,4,CESAR,VALLEDUPAR,67667,490075,490
2020,1,SANTANDER,SANTA HELENA DEL OPON,13,3411,4
2019,3,CUNDINAMARCA,CHIPAQUE,127,9748,10
2019,3,NARI�O,PUPIALES,330,17334,17
2019,2,ANTIOQUIA,HELICONIA,229,5400,6
2018,3,BOYACA,QUIPAMA,102,4889,6
2020,1,ATLANTICO,SANTO TOMAS,1671,32000,32
2020,1,NARI�O,LINARES,19,10012,10
2019,4,VALLE DEL CAUCA,ULLOA,310,5412,5
2019,1,ANTIOQUIA,EL CARMEN DE VIBORAL,5752,61122,62
2019,2,SANTANDER,HATO,33,2349,3
2019,3,TOLIMA,SALDA�A,401,14450,15
2019,1,CUNDINAMARCA,PULI,40,3369,4
2018,3,CAQUETA,SAN VICENTE DEL CAGUAN,1515,50719,52
2018,3,CASANARE,TRINIDAD,314,13233,14
2019,2,NARI�O,EL CHARCO,27,22528,23
2018,4,MAGDALENA,EL PI�ON,25,22530,23
2019,1,SUCRE,LOS PALMITOS,475,23420,24
2019,1,NARI�O,TAMINANGO,130,17866,19
2019,4,CHOCO,SAN JOSE DEL PALMAR,35,5015,5
2020,1,CESAR,PAILITAS,311,19705,20
2019,4,META,SAN JUANITO,13,1266,2
2018,4,MAGDALENA,ZAPAYAN,10,9895,10
2018,4,NARI�O,PUPIALES,381,17491,18
2018,4,TOLIMA,SUAREZ,103,3813,4
2019,1,BOYACA,TINJACA,39,3313,4
2020,1,CUNDINAMARCA,CUCUNUBA,176,8257,8
2019,1,ANTIOQUIA,YALI,713,7630,8
2019,3,CUNDINAMARCA,RICAURTE,1751,13652,14
2020,1,CALDAS,CHINCHINA,7815,52267,53
2019,3,CUNDINAMARCA,CARMEN DE CARUPA,85,7733,9
2019,2,NORTE DE SANTANDER,LOS PATIOS,12243,93754,95
2019,1,CAUCA,SUCRE,13,9582,10
2019,2,SANTANDER,CONTRATACION,248,3683,4
2018,3,CALDAS,SAN JOSE,68,4835,5
2019,2,BOLIVAR,SOPLAVIENTO,119,10733,11
2019,3,BOYACA,TENZA,129,3828,4
2019,2,ANTIOQUIA,ARMENIA,109,5085,6
2018,4,RISARALDA,PEREIRA,103880,467269,468
2019,1,ANTIOQUIA,CACERES,1003,29716,30
2019,1,QUINDIO,GENOVA,200,7455,8
2019,1,CESAR,GONZALEZ,4,4469,5
2018,3,ANTIOQUIA,NARI�O,304,10153,11
2018,3,CAUCA,PUERTO TEJADA,3566,41615,42
2018,4,SANTANDER,SOCORRO,3971,32158,33
2019,3,BOYACA,GsICAN,70,4285,4
2019,3,BOLIVAR,SAN MARTIN DE LOBA,225,14792,15
2018,4,ANTIOQUIA,ANORI,942,18321,19
2019,1,CUNDINAMARCA,MADRID,21355,120067,121
2019,3,BOLIVAR,RIO VIEJO,202,10638,11
2019,3,CHOCO,EL CARMEN DE ATRATO,158,8197,9
2019,4,NARI�O,SAN BERNARDO,23,9186,9
2018,3,CUNDINAMARCA,YACOPI,193,12322,13
2018,2,AMAZONAS,PUERTO SANTANDER,0,1758,2
2018,4,ATLANTICO,BARANOA,3002,62382,63
2018,3,AMAZONAS,EL ENCANTO,2,2100,2
2018,3,ANTIOQUIA,BETULIA,714,15607,16
2019,1,NARI�O,CHACHAGsI,106,15328,16
2019,2,SANTANDER,EL GUACAMAYO,66,2119,3
2020,1,ANTIOQUIA,RIONEGRO,35252,142995,144
2019,1,CESAR,TAMALAMEQUE,20,15790,16
2019,3,LA GUAJIRA,LA JAGUA DEL PILAR,6,3686,4
2020,1,CUNDINAMARCA,SESQUILE,836,12645,13
2019,3,TOLIMA,VILLARRICA,120,5021,5
